敵番号,	X座標, 	Y座標, 	Z座標
00,	200.0f,  0.0f, 	 0.0f
01,	255.0f,  0.0f, 	 0.0f
02,	265.0f,  0.0f, 	 0.0f
03,	270.0f,  5.0f, 	 0.0f
04,	280.0f,  0.0f, 	 0.0f
05,	280.0f, 70.0f, 	 0.0f
06,	290.0f,  0.0f, 	 0.0f
07,	300.0f,  0.0f, 	 0.0f
08,	300.0f, 10.0f, 	 0.0f
09,	310.0f,  0.0f, 	 0.0f
10,	320.0f,  0.0f, 	 0.0f
11,	330.0f,  0.0f, 	 0.0f
12,	333.0f,  0.0f, 	 0.0f
13,	340.0f,  5.0f, 	 0.0f
14,	350.0f, 30.0f, 	 0.0f
15,	355.0f, 10.0f, 	 0.0f
16,	355.0f, 20.0f, 	 0.0f
17,	370.0f,  0.0f, 	 0.0f
18,     380.0f,  0.0f, 	 0.0f
19,     385.0f, 10.0f, 	 0.0f
20,     395.0f,  0.0f, 	 0.0f
21,	400.0f, 10.0f, 	 0.0f
22,	410.0f,  0.0f, 	 0.0f
23,	420.0f,  0.0f, 	 0.0f
24,	420.0f, 10.0f, 	 0.0f
25,	420.0f, 20.0f, 	 0.0f
26,	430.0f, 10.0f, 	 0.0f
27,	440.0f,  0.0f, 	 0.0f
28,     455.0f,  0.0f, 	 0.0f
29,     460.0f,  0.0f, 	 0.0f
30,     470.0f,  0.0f, 	 0.0f
31,	475.0f,  0.0f, 	 0.0f
32,	480.0f,  0.0f, 	 0.0f
33,	483.0f,  0.0f, 	 0.0f
34,	490.0f,  0.0f, 	 0.0f
35,     490.0f,  0.0f, 	 0.0f
36,	490.0f, 80.0f, 	 0.0f
37,	500.0f,  0.0f, 	 0.0f
38,	505.0f,  0.0f, 	 0.0f
39,	515.0f,  0.0f, 	 0.0f
40,	575.0f,  0.0f, 	 0.0f
41,	575.0f, 10.0f, 	 0.0f
42,	580.0f,  0.0f, 	 0.0f
43,     580.0f, 10.0f, 	 0.0f
44,     580.0f, 20.0f, 	 0.0f
